street,blocks,miles,pavement_min_ft,pavement_max_ft,shoulder_each_side_ft_worst,blocks_already_nrr,miles_already_nrr
SW 57TH AVE,9,0.982,12,32,7.0,2,0.258
NE 127TH AVE,16,0.98,22,48,15.0,0,0.0
SE 28TH PL,12,0.979,28,36,9.0,0,0.0
SE 164TH AVE,18,0.979,24,32,7.0,0,0.0
SW VACUNA ST,11,0.977,20,32,7.0,0,0.0
NE 118TH AVE,5,0.976,24,32,7.0,0,0.0
SE 105TH AVE,13,0.972,20,32,7.0,0,0.0
SE 35TH PL,9,0.97,28,36,9.0,0,0.0
NE JESSUP ST,11,0.97,22,32,7.0,0,0.0
N BURR AVE,13,0.965,30,36,9.0,0,0.0
N SUMNER ST,10,0.964,24,36,9.0,0,0.0
NE 53RD AVE,10,0.963,24,28,5.0,0,0.0
N MOHAWK AVE,13,0.962,30,36,9.0,0,0.0
N FENWICK AVE,13,0.961,24,36,9.0,0,0.0
N WEBSTER ST,11,0.959,20,36,9.0,0,0.0
N CAMPBELL AVE,14,0.959,24,36,9.0,0,0.0
SE 115TH AVE,13,0.955,22,32,7.0,0,0.0
SE RHINE ST,14,0.955,20,40,11.0,0,0.0
SE 151ST AVE,9,0.955,22,32,7.0,0,0.0
SE 156TH AVE,16,0.953,26,32,7.0,0,0.0
SW CORONADO ST,10,0.951,12,32,7.0,2,0.13
SW IOWA ST,8,0.949,28,32,7.0,0,0.0
N JESSUP ST,17,0.948,24,36,9.0,0,0.0
SE 116TH AVE,11,0.944,18,32,7.0,2,0.053
SE HAWTHORNE BLVD,12,0.943,12,32,7.0,6,0.318
NE 21ST AVE,15,0.943,14,36,9.0,1,0.037
SE 114TH AVE,8,0.943,28,32,7.0,0,0.0
NE 136TH AVE,8,0.94,23,32,7.0,0,0.0
N HOUGHTON ST,18,0.938,12,36,9.0,4,0.192
SW ALFRED ST,11,0.938,15,32,7.0,1,0.086
N BUFFALO ST,15,0.934,24,32,7.0,0,0.0
N BOSTON AVE,8,0.933,20,30,6.0,0,0.0
SE 17TH AVE,17,0.93,27,36,9.0,0,0.0
NE 155TH AVE,10,0.923,20,32,7.0,0,0.0
SW MARIGOLD ST,10,0.922,16,32,7.0,1,0.055
N TYLER AVE,13,0.922,20,36,9.0,0,0.0
SE UMATILLA ST,12,0.92,22,36,9.0,0,0.0
SE 103RD AVE,8,0.915,28,32,7.0,0,0.0
SE 90TH AVE,10,0.915,20,40,11.0,0,0.0
NE 142ND AVE,8,0.914,20,32,7.0,0,0.0
SW 2ND AVE,9,0.913,16,38,10.0,1,0.141
SE 52ND AVE,9,0.911,24,36,9.0,0,0.0
NE BUFFALO ST,10,0.909,16,36,9.0,1,0.048
SW 14TH AVE,14,0.903,18,30,6.0,1,0.059
SW 54TH AVE,11,0.893,12,32,7.0,2,0.101
N WILBUR AVE,8,0.892,24,28,5.0,0,0.0
NE 150TH AVE,12,0.892,20,32,7.0,0,0.0
NW BIRKENDENE ST,6,0.891,26,32,7.0,0,0.0
N VAN HOUTEN AVE,8,0.887,24,32,7.0,0,0.0
SW MOSS ST,9,0.886,14,36,9.0,3,0.404
NE WEBSTER ST,15,0.884,20,32,7.0,0,0.0
SW BOUNDARY ST,9,0.884,15,30,6.0,4,0.274
NE JARRETT ST,14,0.878,28,32,7.0,0,0.0
N DENVER AVE,12,0.877,32,50,16.0,0,0.0
SE YUKON ST,17,0.874,25,32,7.0,0,0.0
N ATLANTIC AVE,7,0.873,24,36,9.0,0,0.0
NE 57TH AVE,13,0.87,21,45,13.5,0,0.0
N GAY AVE,12,0.869,16,46,14.0,6,0.567
N JERSEY ST,10,0.861,36,36,9.0,0,0.0
SW 42ND AVE,13,0.857,12,32,7.0,4,0.248
N HUNT ST,16,0.852,24,32,7.0,0,0.0
SE 160TH AVE,10,0.851,23,38,10.0,0,0.0
SE MILL CT,8,0.843,28,32,7.0,0,0.0
SE 130TH AVE,9,0.842,28,30,6.0,0,0.0
N KELLOGG ST,9,0.84,26,36,9.0,0,0.0
SE 168TH AVE,13,0.839,28,40,11.0,0,0.0
NE LAURELHURST PL,10,0.837,28,28,5.0,0,0.0
SW VESTA ST,9,0.834,24,32,7.0,0,0.0
N HUMBOLDT ST,11,0.831,24,40,11.0,0,0.0
SE LIEBE ST,13,0.828,10,32,7.0,2,0.094
SE 81ST AVE,12,0.819,26,36,9.0,0,0.0
NE STAFFORD ST,9,0.812,14,30,6.0,2,0.168
SW WILBARD ST,10,0.811,20,32,7.0,0,0.0
SE FLAVEL DR,11,0.81,26,30,6.0,0,0.0
SW 17TH AVE,15,0.81,20,36,9.0,0,0.0
N CHARLESTON AVE,15,0.807,23,36,9.0,0,0.0
NE 88TH AVE,13,0.8,14,32,7.0,5,0.247
SE MILLER ST,10,0.793,17,36,9.0,3,0.212
SE 111TH AVE,9,0.792,28,32,7.0,0,0.0
N STAFFORD ST,9,0.79,15,36,9.0,2,0.101
NE WEIDLER ST,13,0.789,24,32,7.0,0,0.0
NE BRYCE ST,11,0.785,24,28,5.0,0,0.0
SE 104TH AVE,16,0.782,18,32,7.0,2,0.095
NW OVERTON ST,8,0.773,28,36,9.0,0,0.0
NE HAZELFERN PL,6,0.773,28,28,5.0,0,0.0
NE 126TH AVE,12,0.772,15,40,11.0,1,0.043
NE 90TH AVE,12,0.77,20,36,9.0,0,0.0
NE AINSWORTH ST,6,0.769,20,28,5.0,0,0.0
SW VIEW POINT TER,10,0.768,18,36,9.0,2,0.113
SE 158TH AVE,11,0.762,20,32,7.0,0,0.0
SE 33RD PL,8,0.757,28,32,7.0,0,0.0
N MOORE AVE,10,0.756,24,30,6.0,0,0.0
SW 33RD AVE,8,0.756,12,28,5.0,4,0.281
SW 45TH AVE,12,0.756,22,32,7.0,0,0.0
SE 8TH AVE,11,0.755,16,36,9.0,1,0.03
N GANTENBEIN AVE,10,0.755,30,41,11.5,0,0.0
N ALBINA AVE,12,0.753,18,46,14.0,1,0.047
NE 89TH AVE,11,0.753,10,30,6.0,1,0.048
NE LIBERTY ST,8,0.749,28,36,9.0,0,0.0
SW 55TH AVE,9,0.748,12,32,7.0,2,0.188
SE 127TH AVE,9,0.742,17,32,7.0,1,0.055
SW 28TH AVE,8,0.74,14,32,7.0,3,0.236
NE 148TH PL,8,0.738,28,32,7.0,0,0.0
